0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,alvo
-0.38831288,-0.23850045,-0.6971468,0.66546357,0.625708,-0.18266675,-0.682124,-1.3320425,0.41311595,-1.7108037,-0.86593413,-0.31201014,0.3198164,0.09720048,0.3256605,-0.6967604,1.2213731,0.068083525,-0.97767687,-1.2200537,0.45775178,0.13681483,1.499734,0.17775589,0.93337566,0.67831635,-1.68476,-0.2612081,1.087875,-0.8475004,1.8195773,-1.8614907,1.3265442,1.4478514,2.0506213,-0.066354774,-0.5762591,2.4380357,1.2717271,0.43979138,-1.5974722,1.2121807,-0.24166316,-1.5450245,0.16665272,1.031248,0.071686625,1.7444668,-0.7455558,-0.47529158,0.49106157,-0.08747746,0.78590274,-1.0261317,2.417711,1.3724838,1.2877741,-0.8953769,1.0738254,-0.52207386,0.4235595,0.3328067,-2.6481857,-1.2740029,-1.2345008,0.18907711,-0.83873695,0.6643003,-1.1991832,-0.41787726,0.7015696,0.26200646,-1.9863918,-1.4592098,-1.4771016,1.6332448,-0.029032663,-0.90372944,-0.33142978,-2.0265498,-0.16006339,-0.32091582,-0.3943282,1.227604,1.5113547,-0.00683628,1.7459759,0.32178974,0.05682084,-0.92786425,-0.34923962,1.2875553,0.54969585,0.1146418,0.47634113,0.11670824,0.50691056,0.81028277,-0.5191966,-0.6249418,1.9861946,-1.4420333,-1.5354195,-0.40828866,0.11294495,0.8190129,-0.17333342,-1.4989072,0.40144932,-0.5618059,-0.89908713,0.18865904,-0.9379549,-1.2943687,-0.5296687,0.30093554,-1.4748515,0.037035145,0.5650779,0.03371173,0.5435086,1.0531172,0.036853723,-0.50660264,2.0396414,-0.33333844,0.6439388,-0.9888015,Desconhacido
-0.724313,-1.5556787,-0.49102446,2.196854,-0.09521711,-0.029841006,-0.23614864,-2.7690768,0.008790035,0.8581338,-2.9220207,-0.74792904,0.42619723,0.48436907,-1.7582505,-0.36320347,-1.1062824,0.5960812,0.7711879,-0.9646339,1.4918845,-0.15932563,1.8992134,-0.94512415,0.24369808,0.19905347,0.21664871,-1.542399,-0.22142534,0.38846558,0.09375797,-0.52692616,-0.5760681,1.5147132,1.733345,-1.2141912,-0.22769654,-0.08902446,0.4011981,-1.0474523,-0.2590109,0.12890992,-1.051898,-0.2192038,1.0072914,-0.79793096,-0.12831315,2.9028056,-0.11832047,0.412386,-0.6225597,-0.05336083,-0.488668,0.55957544,1.4566423,-0.6535671,0.9205391,-0.5901269,-0.02836132,-1.2927222,-0.4097799,-0.8192337,-0.9121967,-2.1376932,-2.9432406,1.8173317,-0.09001712,0.014386724,-1.5769583,0.1697572,0.7791203,-0.75304484,0.16064467,0.34599435,-0.9383391,-0.27817604,0.26494145,0.30707678,0.50384665,-2.1043105,-0.7122387,-1.0648096,0.29124027,1.7500017,1.1112874,0.61372876,0.60201776,-0.40244305,1.1936032,-0.026419174,-0.39054283,1.0957603,0.59298366,1.4234263,0.4193259,1.4332311,0.80645734,0.99211085,-0.78388786,-1.0763402,1.0973884,-0.22694644,-0.2921129,-1.1725428,0.89792097,-0.069162115,-0.13334726,1.378729,-0.6599619,-0.9906116,0.2197866,-0.20597546,-0.47363684,-0.574656,-0.97346187,0.76729023,-0.24274644,-0.70912063,-2.3143167,-0.6585425,0.33326626,-0.41209424,-0.77927417,-0.22339478,1.228065,0.30797422,0.4970188,-1.1765572,Desconhacido
0.18609388,0.6984558,-0.47342652,0.31807888,-0.5554098,0.41475958,0.72940755,-0.2230986,-0.8836697,-1.0671988,-0.010205541,0.00199207,0.26606333,0.10607086,-0.14321165,-0.7939712,-0.16287136,-0.27315095,-1.0069342,-0.025985891,-0.029832445,-0.8610202,0.4302142,-0.6435431,-0.35054803,-1.7164338,-1.4836177,0.5689904,0.7615106,-0.2008906,0.13272811,1.3222909,0.8903536,-1.3798494,-0.8467429,-1.4049225,-0.024470642,0.10811364,0.00016491115,-0.961563,0.49628025,0.3796944,-0.06954861,-0.76557857,0.20175907,-0.88329583,-0.40788177,1.1552955,-0.24881376,1.4139491,1.1782717,-0.279847,0.8032916,0.35709718,-1.4889336,2.6980944,0.15245473,-1.551126,-0.8609217,1.983612,-0.7878633,0.4383754,-1.4443811,1.2217598,0.81188595,-1.2371457,1.4389373,-1.1935319,0.45224753,-0.68241763,-0.77194786,1.1596786,0.36818087,0.9849213,0.88689023,-0.6781417,-0.15889223,-1.0618864,-0.64038014,-1.0362555,1.0579026,1.523079,-0.32214046,-1.6597317,0.9495957,-0.6829734,1.1257914,-1.1461936,0.20076036,1.1546032,-1.0469064,1.3548157,-0.48049083,-0.0006072335,-0.24273363,1.413905,-0.21232657,-0.75195843,-0.5844976,-1.248042,-0.33635026,-1.3222975,0.16482404,-0.81124824,0.94289726,-1.3281173,0.93855476,-0.25834736,2.0703185,-0.4716753,-1.2029338,1.1393058,-1.1265965,0.58736426,-0.8613309,-0.66233766,1.2294595,1.0402808,-1.5488583,0.40149188,0.8080032,-1.4314352,1.5177047,1.9192487,-0.35857803,0.8149036,-1.4779415,0.027398977,Desconhacido
0.9120678,-0.5325775,0.12454281,-0.21145248,0.7444485,0.5426456,0.072236806,-0.91657495,0.630978,-1.3495005,0.7756262,-0.319929,-0.4737612,-1.2166206,-0.7326369,-2.393126,-0.6291921,0.98273385,-0.7126322,-1.5203347,-0.3278352,-2.4376905,1.6159953,0.54992354,-0.03817686,-2.4516118,-1.2910275,0.15910763,-0.93085957,-0.33849826,1.690235,0.5707572,0.18046778,0.07685635,-2.3344657,-0.86961085,0.3958691,0.2848346,-0.91091937,0.11944519,1.497685,-0.51630515,1.321903,0.9135438,-0.39048702,-0.005326219,1.2517407,0.30054492,-0.606784,-0.17993186,-0.012069173,-0.83242,-0.1110804,0.4819334,0.13856354,2.3095129,-1.2940558,-0.6359099,-1.8691273,0.734364,0.14797398,-0.27525967,-0.8178951,0.59429765,0.1476019,1.0314031,-0.9745791,0.73675346,-0.01407255,-1.2340636,-1.2758337,0.5375134,1.1043793,-0.39940834,-0.95283204,0.7911764,-1.5351552,-0.32149857,-1.2263528,-0.6320973,0.37185848,0.7828039,0.75877607,0.1517348,0.01921463,-0.8413311,0.98701745,-0.144495,1.4981133,1.4142405,0.1685982,-0.9835462,-0.52045006,-0.06634503,1.0133402,1.4804522,-1.2073684,-0.8171146,-0.48606446,-0.7052581,0.07831057,-0.4850696,0.80258054,-1.3798627,0.28995022,-0.8619591,0.5212787,0.09270102,1.1924419,-2.533761,-1.7361773,1.3614056,-0.6486304,-1.1830966,-0.91654944,0.68832815,-0.60767996,0.18062663,-0.37957436,-0.42221755,-1.2935996,-0.7405673,2.0677342,1.8934321,0.2277528,-1.1902243,-0.89059895,0.4134593,Desconhacido
-0.29485196,-0.52699137,-0.23458663,0.6984821,2.9612632,-0.79005134,-0.19866893,-1.5178668,0.6177992,0.5953391,-0.6268381,0.6672263,1.6357136,-0.021936424,1.6507624,1.0539639,1.5192417,-0.45118624,0.39967498,-1.1753178,-0.5955423,-0.41036034,0.47252768,1.0748605,-0.15442218,-1.2839469,1.5952152,1.3018537,-0.518046,0.52736986,0.5511679,-0.65366906,0.5635036,-0.18947288,-0.2307649,-0.7664766,0.13474962,0.06276804,-0.2688135,0.19276732,0.63087946,0.47041145,0.9874042,0.16642693,0.041918732,-0.32433426,-0.7276342,-0.8940542,1.4125321,0.7127305,-0.25340027,-0.92698586,-0.91059333,0.021145582,-0.35627356,0.64859474,0.81557196,-0.99033463,-1.7628092,0.39637423,0.06664083,0.6365315,0.47917998,1.3512316,-1.4071375,-0.35232133,-0.17654872,-0.11558338,0.5305914,0.3265077,0.020074384,1.7230823,0.23647657,0.99602205,0.037619058,-0.49095216,1.2272515,-0.4711302,-0.60529304,-0.6320969,-2.4200125,1.4856529,1.1392858,0.52171373,-0.18346784,-0.30246332,2.7700226,-1.4529924,-0.97780144,-0.40301144,-0.48845503,0.9798493,0.97160256,0.9819282,1.522489,-1.7385428,-0.6882617,1.066363,-1.7215347,-0.14518054,0.74601626,1.2958405,-0.08520581,-1.0721127,2.1801536,-0.51205343,-1.6355942,-1.2725886,-0.98458356,-1.0957408,-0.20468956,0.8806744,-0.5405811,0.77553505,-1.0592257,0.96537673,0.7063056,1.3465424,-1.3464695,0.63457865,-0.15815341,0.8101289,2.179033,-0.07034657,0.2228277,-0.7513787,-0.5675923,0.27419418,Desconhacido
-0.38069442,-1.629102,-0.23226118,0.118852474,-0.5589533,-0.35547146,-0.8927605,0.5936594,-0.6091963,1.9191288,0.7430959,0.422197,-1.2926836,-1.5867176,0.8011559,1.8824832,0.2751472,0.78613424,0.94329333,3.0145745,-0.27717775,-0.064539,0.14138222,0.6754789,-0.9105063,-0.9948723,1.0868171,0.5823691,-1.1918252,1.3864703,0.304618,-0.30400965,0.0665187,-1.418801,0.5538827,-0.40357384,0.3954258,-0.5342625,1.5979176,1.3082058,-0.7240346,-1.4450886,-0.19687483,1.0499996,1.052361,0.33358893,0.15979408,-0.3828689,-0.59949684,0.29716972,0.028989077,0.18923973,0.95853347,0.1311472,-0.09111123,-1.2172819,-0.8422052,2.311786,-0.5692063,-0.5718175,1.5332408,1.007908,-0.1428916,-0.96349347,0.73716366,0.5083788,1.4508973,0.97202766,0.37122923,-0.9297159,-1.5879247,-1.4841754,0.6637508,-0.19042617,-1.1478319,0.595422,-0.24924743,-0.36864984,0.34051383,0.29348296,-0.45031372,-1.3699368,0.6292802,1.5674131,-0.2437177,-1.9328867,-0.40773505,1.1036683,-0.6246482,-0.54124177,0.24019694,-0.6915502,-1.0654049,1.3898479,-0.8725734,-2.3080738,1.0316924,-0.9767449,-0.82079625,0.97815835,0.018583156,1.3077666,-0.1763978,0.03458611,-0.74539316,-0.91302717,0.86604017,-0.14125286,-0.115334705,0.39628935,0.9206607,0.29613507,2.3486755,-1.812224,-0.46715438,-0.07105791,-0.21450259,1.7651765,0.5676908,-0.07727553,-0.5045902,0.85491,-0.6270613,-0.0019944515,1.0807283,-1.7434572,-0.536809,0.0019705035,Desconhacido
-0.118649095,-0.73274624,1.569285,0.22936392,-0.5497781,-0.50551474,0.6389288,0.12902609,0.16377562,0.37663567,1.5943859,-1.6718335,-0.3306659,1.3951645,-1.4073578,-0.16911083,2.4476974,-0.6686215,-0.017944857,0.21388638,0.64445627,-1.7112352,0.6405408,-1.6087278,-0.23552454,0.52984226,2.0754116,-0.108039275,-1.286994,-1.147902,-0.048688613,0.5775244,0.86589444,-1.7937059,-0.47607556,0.8813677,0.22977394,0.4384414,0.38110477,0.33157182,-2.5957313,-1.7027085,0.17684309,-0.020581417,0.55419105,0.534495,-0.40376782,-0.044316232,0.25717926,-1.7741668,1.1843162,-0.67291427,-2.5800068,-0.4187711,0.3135689,0.25341833,1.2698685,2.4181602,1.8438282,-0.31220677,-0.74769235,1.3095605,0.6325903,0.6470546,0.86078197,-0.808264,-0.60266757,-0.055679154,-0.672524,1.6901437,-1.8563488,-0.9992579,-0.05918633,-0.7077428,0.58059263,1.520777,0.09944619,-0.56734866,-1.0055201,-0.58506227,0.32295626,0.5628805,0.458342,-0.9343433,-1.1872829,0.61901253,-0.8184958,-0.9542818,-1.6423135,-1.5503807,1.1133,-0.13784032,0.36730236,-2.095244,-1.3425835,0.6169459,-0.59237266,-0.44011435,0.698335,0.22003935,-2.4643042,0.4362612,1.12466,-1.1045651,0.3886559,-0.79013675,0.6316045,1.5620556,1.6053729,-0.57452655,-0.52898234,-1.695615,-0.45299026,0.78008956,-0.26033622,1.0628774,1.6233531,1.2813555,-0.5333486,0.33303934,0.17507696,0.2617691,-0.25458986,-0.079296984,0.90845186,-0.7416665,-0.19748914,-0.6960234,Desconhacido
-0.26073393,-0.8940127,-0.51091224,-0.6069574,-0.7263107,0.06815052,-0.13239451,0.1823718,-1.4414637,1.0437678,-0.046553694,0.96161246,0.98437136,0.1114416,1.2765514,0.7926448,0.25973237,-1.0026473,0.2130793,0.1959021,0.21967366,0.7033015,-1.2055839,1.888686,1.4363856,-1.5794681,-0.45682424,-0.6342991,2.2141519,0.5736683,0.2095676,-1.5136219,-0.15777725,0.58433247,1.737769,-1.2617664,-1.7186583,1.7610384,-0.36770853,-0.8867526,0.38222155,1.2675024,-0.015394047,0.2539565,-0.94428384,-2.345528,-0.7908788,0.79927826,0.8468022,-0.35309717,0.51425815,1.8269949,1.7960929,-1.7722337,0.3299967,-1.0096889,0.16699356,-0.75541097,0.642792,-0.687863,1.1959988,1.0305068,-0.084563725,0.28531912,-0.564201,0.6319406,0.43894204,-0.19893603,-1.5629733,0.9601126,1.1357377,-1.8361163,0.043066688,-1.592299,0.6870705,-1.2409245,0.748435,1.690372,-0.62653553,-0.079530515,0.20624536,0.3451978,-2.2378333,0.61283404,0.4979621,1.293571,-0.61753684,-1.3278252,-1.1437378,-1.5039182,1.6845071,1.1067858,0.20402157,1.2011542,1.4241339,0.017327186,1.8677247,-0.5776103,0.071117386,0.5951269,-0.58102626,0.54897386,0.5353625,1.5779265,-0.05836206,0.68202555,0.26536375,-0.62303674,-0.6206758,1.2850943,-0.81690097,0.1975966,1.3464378,-0.5209082,-1.3403716,-1.7317854,-0.67102337,0.13776825,-1.2745637,-0.34033975,0.40652508,0.0640984,0.24824835,-1.562816,1.1445252,0.81398404,-0.1501256,-1.2184033,Desconhacido
1.233272,-0.43135136,-0.7461909,0.46826252,1.0374368,0.19454525,-1.0844287,-0.21476822,-0.75236356,-0.4643148,0.41396484,-1.2113894,1.5156906,0.6932086,1.5760647,0.7448389,1.4904485,-1.4404484,0.5763904,1.1541249,-0.5205517,0.6212448,0.798054,2.1318018,0.08552563,-1.3521717,0.52927387,0.1331778,-0.544074,-0.035977326,0.6397784,-0.067687646,-0.008566081,0.20635659,-0.72761303,1.2977946,0.8256964,1.2413261,0.95622665,1.789604,0.6863254,-0.24532254,0.6382977,-1.7539241,-0.05684451,0.44182593,-0.062389314,0.46045017,1.9290694,-0.08911452,-0.20202889,0.40188512,0.32345444,0.027023919,-0.22239028,0.5208739,0.08697571,-0.0006601326,-0.36913118,1.6861591,0.019721784,0.18367355,-0.075315244,0.821399,0.12588356,-1.3484601,2.3430882,-0.94569737,-0.8367247,1.4461626,0.73055524,1.7369254,-0.031884406,1.6632867,-0.7011706,-0.74692047,-0.2040666,-0.23064764,-1.62817,0.27604198,-0.9463976,0.94344187,2.0305696,1.163798,0.20287734,0.78251123,0.7381717,-1.436764,-0.70638776,-2.7162557,1.3563797,0.86782956,0.17807612,0.7421533,0.8711095,-0.40559137,-0.26937738,0.6556496,-0.9269632,0.26893818,-0.010072593,-0.71806586,-0.9731008,-0.018287227,-0.20161594,-1.0334651,0.110557035,-0.22109115,0.52871263,-0.67934763,-1.6930424,-0.4223163,0.9724754,-0.066510916,-0.8144968,-1.6045309,0.9456556,0.78493345,-1.0941045,0.52473104,0.38040453,-0.085168704,1.1892467,-2.0834959,-0.5419005,0.5034895,-0.1197365,-0.7591757,Desconhacido
-0.46856484,-1.5232809,1.3962021,0.3283771,0.2864041,0.32528305,-0.83428603,-0.8079238,0.055595107,-0.47097108,-1.4282764,-0.15005097,0.8673068,0.9209281,1.4947138,-0.9057322,0.13781545,2.4672036,0.33817706,0.78116995,0.42613122,0.68073547,-0.8162154,-0.18474808,0.92857075,0.932582,0.66862,-1.3389434,1.9504874,-0.13614662,1.0770135,0.6519968,0.6604616,0.35385665,-0.48910946,-0.655061,-0.7645948,-0.8562168,-1.3671665,-1.5063988,-0.7418242,-1.272639,1.767634,0.71821386,0.5215324,1.9405723,-0.06523183,-1.4551773,0.40845007,-1.4815125,0.3352176,-1.4376032,-0.27867326,0.83178234,0.23615888,-1.9558033,-0.69549507,-0.9639937,0.8580368,-0.18870056,-0.36036932,1.6124512,0.044898007,0.7302467,0.31394207,0.038409725,0.82700765,-1.3436364,0.5311128,1.4616277,0.7178347,-1.5732512,-1.4542878,-0.66368836,-0.045540076,-0.55683684,0.38286215,-1.9408627,0.11683365,1.4543891,1.2994972,-0.49098113,-0.41436058,1.6626155,1.1131765,0.19751576,-0.8285061,-0.38056272,-1.3247937,-2.2964444,1.012167,0.6052799,-1.6421508,-1.3381767,-1.0622476,-0.13703573,0.6438256,0.21248299,1.4474928,-0.8616155,-1.2099012,-0.66293174,1.005106,1.6342592,-0.98935074,2.115716,-1.6958911,-0.9366119,-0.39720222,-0.21967743,-1.055645,-1.1062356,-1.9491886,-0.6928349,1.2128669,-0.92118776,-0.7749655,0.36876836,-0.14183384,-0.5048956,1.0269198,0.42321464,0.82546204,0.62855935,0.5217989,-0.54362535,0.77722996,1.5248619,Desconhacido
